coral_number,site,habitat,transect,taxa,x,y,z,year,length,width,height,observer,note,note_extra
12,LTER1,BR,P1,Poc,1.15,98,4,2015,NA,NA,NA,MK,NA,NA
12,LTER1,BR,P1,Poc,1.15,98,4,2016,NA,NA,NA,MK,NA,NA
12,LTER1,BR,P1,Poc,1.15,98,4,2017,1.2,1.3,0.9,EW,R,NA
12,LTER1,BR,P1,Poc,1.15,98,4,2018,7.5,4,4.1,HSL,NA,NA
12,LTER1,BR,P1,Poc,1.15,98,4,2019,NA,NA,NA,EW,D,NA
12,LTER1,BR,P1,Poc,1.15,98,4,2020,NA,NA,NA,NA,NA,NA
12,LTER1,BR,P1,Poc,1.15,98,4,2021,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,2013,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,2014,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,2015,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,2016,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,2017,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,2018,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,2019,NA,NA,NA,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,2020,8.5,9,7.5,NA,NA,NA
13,LTER1,BR,P1,Poc,1.15,94,30,2021,NA,NA,NA,HSL,D,NA
14,LTER1,BR,P1,Poc,1.6,60,50,2013,NA,NA,NA,NA,NA,NA
14,LTER1,BR,P1,Poc,1.6,60,50,2014,NA,NA,NA,NA,NA,NA
14,LTER1,BR,P1,Poc,1.6,60,50,2015,NA,NA,NA,NA,NA,NA
14,LTER1,BR,P1,Poc,1.6,60,50,2016,NA,NA,NA,NA,NA,NA
14,LTER1,BR,P1,Poc,1.6,60,50,2017,NA,NA,NA,NA,NA,NA
14,LTER1,BR,P1,Poc,1.6,60,50,2018,1,1.5,0.5,HSL,NA,R
14,LTER1,BR,P1,Poc,1.6,60,50,2019,NA,NA,NA,EW,D,NA
14,LTER1,BR,P1,Poc,1.6,60,50,2020,NA,NA,NA,NA,NA,NA
14,LTER1,BR,P1,Poc,1.6,60,50,2021,NA,NA,NA,NA,NA,NA
15,LTER1,BR,P1,Poc,1.6,46,18,2013,NA,NA,NA,MK,NA,NA
15,LTER1,BR,P1,Poc,1.6,46,18,2014,NA,NA,NA,MK,NA,NA
15,LTER1,BR,P1,Poc,1.6,46,18,2015,NA,NA,NA,MK,NA,NA
15,LTER1,BR,P1,Poc,1.6,46,18,2016,NA,NA,NA,MK,NA,NA
15,LTER1,BR,P1,Poc,1.6,46,18,2017,20,20,12,EW,Lo,NA
15,LTER1,BR,P1,Poc,1.6,46,18,2018,24,22,16,HSL,NA,NA
15,LTER1,BR,P1,Poc,1.6,46,18,2019,17,11.1,10,EW,NA,NA
15,LTER1,BR,P1,Poc,1.6,46,18,2020,NA,NA,NA,NA,D,NA
15,LTER1,BR,P1,Poc,1.6,46,18,2021,NA,NA,NA,NA,NA,NA
16,LTER1,BR,P1,Poc,1.7,30,0,2013,29.4,13.6,23.7,MK,Lo,NA
16,LTER1,BR,P1,Poc,1.7,30,0,2014,26.4,13.4,20.6,MK,NA,NA
16,LTER1,BR,P1,Poc,1.7,30,0,2015,22.5,13,26.7,MK,NA,NA
16,LTER1,BR,P1,Poc,1.7,30,0,2016,27.8,14.3,27.3,MK,NA,NA
16,LTER1,BR,P1,Poc,1.7,30,0,2017,NA,NA,NA,EW,NA,NA
16,LTER1,BR,P1,Poc,1.7,30,0,2018,NA,NA,NA,HSL,NA,NA
16,LTER1,BR,P1,Poc,1.7,30,0,2019,NA,NA,NA,EW,NA,NA
